ftimestamp,ltimestamp,imsi,longitude,latitude,OD,mode
20181003191200,20181003212410,460000095005561145,122.89500727740204,41.51777572926369,T,3
nan,20181003220855,460000095005561145,123.3034363,41.77828979,F,3
nan,20181003222409,460000095005561145,123.40065,41.79916,F,3
20181003224845,20181003233126,460000095005561145,123.41198730000002,41.8078804,T,3
20181003110119,20181003140549,460000095005565778,123.41152950000001,41.768028259999994,T,1
nan,20181003142028,460000095005565778,123.4357605,41.77159119,F,1
nan,20181003150333,460000095005565778,123.41596979999998,41.7686615,F,1
20181003151357,20181003200927,460000095005565778,123.41152950000001,41.768028259999994,T,1
20181003003822,20181003023018,460000095005571676,123.4117813,41.80295181,T,1
nan,20181003023820,460000095005571676,123.4166718,41.8102417,F,1
nan,20181003024625,460000095005571676,123.415947,41.82638931,F,1
nan,20181003024651,460000095005571676,123.415947,41.82638931,F,1
nan,20181003024709,460000095005571676,123.415947,41.82638931,F,1
nan,20181003024747,460000095005571676,123.4168396,41.82715988,F,1
nan,20181003025131,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003025154,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003025638,460000095005571676,123.41438290000002,41.81169891,F,1
nan,20181003025754,460000095005571676,123.41438290000002,41.81169891,F,1
nan,20181003030809,460000095005571676,123.41438290000002,41.81169891,F,1
nan,20181003031053,460000095005571676,123.41438290000002,41.81169891,F,1
nan,20181003031852,460000095005571676,123.41438290000002,41.81169891,F,1
nan,20181003031914,460000095005571676,123.41438290000002,41.81169891,F,1
nan,20181003032321,460000095005571676,123.4207916,41.81219864,F,1
nan,20181003032503,460000095005571676,123.41438290000002,41.81169891,F,1
nan,20181003032803,460000095005571676,123.41438290000002,41.81169891,F,1
nan,20181003033200,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003033257,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003033316,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003033335,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003033345,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003033543,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003033652,460000095005571676,123.41438290000002,41.81169891,F,1
nan,20181003033719,460000095005571676,123.41438290000002,41.81169891,F,1
nan,20181003034010,460000095005571676,123.41438290000002,41.81169891,F,1
nan,20181003034310,460000095005571676,123.41438290000002,41.81169891,F,1
nan,20181003034414,460000095005571676,123.417511,41.82001114,F,1
nan,20181003034847,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003034914,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003034950,460000095005571676,123.41438290000002,41.81169891,F,1
nan,20181003035034,460000095005571676,123.41438290000002,41.81169891,F,1
nan,20181003035303,460000095005571676,123.417511,41.82001114,F,1
nan,20181003035628,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003035723,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003040058,460000095005571676,123.4207916,41.81219864,F,1
nan,20181003040952,460000095005571676,123.39129640000002,41.86468887,F,1
nan,20181003041620,460000095005571676,123.41438290000002,41.81169891,F,1
nan,20181003041723,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003102613,460000095005571676,123.4172211,41.8232193,F,1
nan,20181003102759,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003102802,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003102838,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003103017,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003103244,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003103325,460000095005571676,123.417511,41.82001114,F,1
nan,20181003103343,460000095005571676,123.417511,41.82001114,F,1
nan,20181003103609,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003103610,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003103757,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003104005,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003104133,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003104231,460000095005571676,123.41438290000002,41.81169891,F,1
nan,20181003105136,460000095005571676,123.4169998,41.81206894,F,1
nan,20181003105733,460000095005571676,123.4169998,41.81206894,F,1
nan,20181003110027,460000095005571676,123.4169998,41.81206894,F,1
nan,20181003110653,460000095005571676,123.4169998,41.81206894,F,1
nan,20181003111626,460000095005571676,123.4131699,41.81354904,F,1
nan,20181003111747,460000095005571676,123.4131699,41.81354904,F,1
nan,20181003111748,460000095005571676,123.4131699,41.81354904,F,1
nan,20181003111923,460000095005571676,123.4181671,41.81634903,F,1
20181003114716,20181003123408,460000095005571676,123.41699980000001,41.81206894,T,1
nan,20181003135648,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003135755,460000095005571676,123.4131699,41.81354904,F,1
nan,20181003135833,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003135945,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003140840,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003141000,460000095005571676,123.41438290000002,41.81169891,F,1
nan,20181003141731,460000095005571676,123.41438290000002,41.81169891,F,1
nan,20181003142018,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003142732,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003144216,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003144324,460000095005571676,123.4121704,41.8152504,F,1
nan,20181003144759,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003151150,460000095005571676,123.4181671,41.81634903,F,1
nan,20181003151902,460000095005571676,123.4166718,41.8102417,F,1
nan,20181003152222,460000095005571676,123.4166718,41.8102417,F,1
nan,20181003154330,460000095005571676,123.42195890000002,41.80764008,F,1
nan,20181003154647,460000095005571676,123.4248505,41.80847931,F,1
nan,20181003160721,460000095005571676,123.415947,41.82638931,F,1
nan,20181003160904,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003160946,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003161149,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003161227,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003161312,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003161427,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003162152,460000095005571676,123.4217682,41.82440948,F,1
nan,20181003163153,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003163317,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003164256,460000095005571676,123.4132919,41.82429123,F,1
nan,20181003164419,460000095005571676,123.4217682,41.82440948,F,1
nan,20181003165651,460000095005571676,123.4132919,41.82429123,F,1
nan,20181003172022,460000095005571676,123.4132919,41.82429123,F,1
nan,20181003173121,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003173140,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003173200,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003173232,460000095005571676,123.4172211,41.8232193,F,1
nan,20181003173238,460000095005571676,123.4172211,41.8232193,F,1
nan,20181003173312,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003173650,460000095005571676,123.4132919,41.82429123,F,1
nan,20181003173655,460000095005571676,123.4132919,41.82429123,F,1
nan,20181003173657,460000095005571676,123.4132919,41.82429123,F,1
nan,20181003173712,460000095005571676,123.4132919,41.82429123,F,1
nan,20181003173801,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003173949,460000095005571676,123.4217682,41.82440948,F,1
nan,20181003174235,460000095005571676,123.415947,41.82638931,F,1
nan,20181003174404,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003174442,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003174653,460000095005571676,123.4132919,41.82429123,F,1
nan,20181003174942,460000095005571676,123.4132919,41.82429123,F,1
nan,20181003175136,460000095005571676,123.4217682,41.82440948,F,1
nan,20181003175147,460000095005571676,123.4217682,41.82440948,F,1
nan,20181003175408,460000095005571676,123.4217682,41.82440948,F,1
nan,20181003175517,460000095005571676,123.4132919,41.82429123,F,1
nan,20181003175609,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003175706,460000095005571676,123.4217682,41.82440948,F,1
nan,20181003180138,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003180218,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003180639,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003180841,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003180858,460000095005571676,123.4166107,41.82537079,F,1
nan,20181003181332,460000095005571676,123.415947,41.82638931,F,1
nan,20181003181555,460000095005571676,123.4217682,41.82440948,F,1
nan,20181003182031,460000095005571676,123.4208603,41.81906128,F,1
20181003182714,20181003223155,460000095005571676,123.4166718,41.81024169999999,T,1
20181003000451,20181003004859,460000095007329090,123.41596979999998,41.80778122,T,1
nan,20181003004942,460000095007329090,123.411911,41.81045914,F,1
20181003012807,20181003073640,460000095007329090,123.41596979999998,41.807781219999995,T,1
20181003012807,20181003073640,460000095007329090,123.41596979999998,41.807781219999995,T,3
nan,20181003073941,460000095007329090,123.4166718,41.8102417,F,3
nan,20181003075112,460000095007329090,123.43202209999998,41.80392075,F,3
nan,20181003075348,460000095007329090,123.4372406,41.7996788,F,3
nan,20181003075457,460000095007329090,123.4421463,41.80107879999999,F,3
nan,20181003075523,460000095007329090,123.4372406,41.7996788,F,3
20181003080102,20181003093626,460000095007329090,123.43963619999998,41.804889679999995,T,3
20181003080102,20181003093626,460000095007329090,123.43963619999998,41.804889679999995,T,1
nan,20181003094656,460000095007329090,123.4359436,41.80569839,F,1
20181003095453,20181003185706,460000095007329090,123.4312515,41.80846024,T,1
20181003192456,20181003202249,460000095007329090,123.4344177,41.81195831,T,1
20181003192456,20181003202249,460000095007329090,123.4344177,41.81195831,T,2
