timestamp,imsi,lac_id,cell_id,longitude,latitude
20181003000004,460000095040541608,16887,67657267,123.3898087,41.81626892
20181003000028,460000095083818745,16655,67446837,123.3956909,41.79013824
20181003000032,460000095083818745,16655,67446837,123.3956909,41.79013824
20181003000048,460000095083499334,16398,67248673,123.527092,41.82112885
20181003000100,460000095060523239,16409,67647501,123.3730774,41.82954025
20181003000104,460000095040591270,16887,67691828,123.3981628,41.81435013
20181003000109,460000095084486097,16644,67663679,123.4168396,41.82715988
20181003000123,460020095000646396,16644,67679551,123.4013138,41.81848907
20181003000130,460000095060523239,16409,67647797,123.3816299,41.8310318
20181003000137,460020095000646396,16644,67679551,123.4013138,41.81848907
20181003000137,460020095002693054,16789,67567629,123.4087296,41.80886078
20181003000140,460070095040136238,16794,235194153,123.3936234,41.79470062
20181003000152,460000095007687263,16648,67927583,123.3987732,41.65663147
20181003000157,460000095074476402,16789,67567667,123.4087296,41.80886078
20181003000202,460070095025649502,16406,2230029,123.3644791,41.7935791
20181003000208,460000095084486097,16644,67663667,123.4168396,41.82715988
20181003000212,460000095005571676,16789,12785293,123.4117813,41.80295181
20181003000212,460020095025609903,16789,68038165,123.4140396,41.79716873
20181003000214,460000095091180583,16885,67210015,123.4399872,41.81465912
20181003000218,460000095093417729,16386,67529543,123.3417969,41.66085815
20181003000220,460020095004730821,16640,13072270,123.4181137,41.79104996
20181003000251,460000095028482910,16648,2192435,123.3122177,41.56336975
20181003000253,460000095060523239,16409,67647245,123.3926086,41.83023071
20181003000302,460020095000646396,16789,67677964,123.4021606,41.8132515
20181003000306,460020095001645387,16789,2459404,123.3983231,41.81044006
20181003000329,460020095001645387,16789,2459404,123.3983231,41.81044006
20181003000357,460000095084486097,16644,67663677,123.4168396,41.82715988
20181003000412,460070095006117569,16651,67946528,123.2838364,41.76004028
20181003000437,460020095004730821,16884,67446580,123.4062119,41.79008865
20181003000451,460000095007329090,16789,67567924,123.4159698,41.80778122
20181003000502,460000095084494779,16884,67451659,123.3952179,41.7841301
20181003000502,460020095013629082,16789,67567668,123.4087296,41.80886078
20181003000526,460020095001645387,16789,55569737,123.3968506,41.8096199
20181003000542,460000095074465569,16789,67567628,123.4087296,41.80886078
20181003000546,460000095091180583,16885,234955553,123.4435272,41.81632996
20181003000554,460020095006349317,16789,67569931,123.4119873,41.8078804
20181003000557,460020095000646396,16887,235143968,123.394043,41.79904938
20181003000612,460000095093417729,16386,67529523,123.3417969,41.66085815
20181003000615,460020095013629082,16789,67567628,123.4087296,41.80886078
20181003000627,460020095002693054,16789,67567629,123.4087296,41.80886078
20181003000632,460000095079109575,16789,67295541,123.4208603,41.81906128
20181003000632,460020095001645387,16789,235161397,123.3919601,41.81158066
20181003000639,460000095060523239,16644,67299635,123.406662,41.82329941
20181003000646,460000095080923032,16789,68038165,123.4140396,41.79716873
20181003000652,460000095040591270,16789,67677965,123.4021606,41.8132515
20181003000656,460000095080923032,16789,68038165,123.4140396,41.79716873
20181003000704,460020095021709464,16655,68120085,123.4017715,41.79084015
20181003000706,460020095001192336,16789,67567885,123.4159698,41.80778122
